iter	MultiClass
0	1.056530372
1	1.017438646
2	0.9829894194
3	0.9523828918
4	0.9248216733
5	0.8985308022
6	0.8732914525
7	0.8511466544
8	0.8297461683
9	0.8100682442
10	0.7917451445
11	0.7750629865
12	0.7600431808
13	0.745427503
14	0.731648891
15	0.7185660619
16	0.7062583924
17	0.69448775
18	0.6833817017
19	0.6726461445
20	0.6630597345
21	0.6541581934
22	0.6456801763
23	0.6373060581
24	0.6295150309
25	0.6219546483
26	0.6153253114
27	0.6088825765
28	0.602929652
29	0.5963244551
30	0.5905443117
31	0.5849221227
32	0.5795237354
33	0.5745691979
34	0.5699178262
35	0.5653808475
36	0.5615816068
37	0.5572172238
38	0.5533043005
39	0.5497607765
40	0.5462734205
41	0.5431638241
42	0.5399264937
43	0.5369265144
44	0.5339449103
45	0.531193547
46	0.5285240039
47	0.5261009964
48	0.5242838542
49	0.5222723912
50	0.5200711962
51	0.5179024859
52	0.5157320495
53	0.5140081493
54	0.5123494334
55	0.5106476448
56	0.5090326602
57	0.5072802765
58	0.5051110738
59	0.5039132903
60	0.5023806186
61	0.501609051
62	0.5005448368
63	0.4993317518
64	0.4981527758
65	0.496962836
66	0.4958514785
67	0.4947175682
68	0.493751859
69	0.4929199847
70	0.4917689305
71	0.4907790464
72	0.4899746654
73	0.4891197362
74	0.4880779606
75	0.4872401429
76	0.4864213267
77	0.4858508223
78	0.4847501259
79	0.4836647416
80	0.4829444742
81	0.4821651721
82	0.4814923807
83	0.4808910668
84	0.4802915159
85	0.4795184295
86	0.478933591
87	0.4784496166
88	0.4779578015
89	0.4776022386
90	0.477080228
91	0.476602287
92	0.4761638972
93	0.4757278942
94	0.47532615
95	0.4748388231
96	0.4744064298
97	0.473983844
98	0.4735101773
99	0.4731169286
100	0.4727401052
101	0.4722042352
102	0.4719333025
103	0.4716685778
104	0.4713837232
105	0.4709459228
106	0.4706821047
107	0.4702588249
108	0.4699402617
109	0.4696116155
110	0.4692175506
111	0.4688954764
112	0.468598337
113	0.4683415997
114	0.4681384908
115	0.4679620418
116	0.4676009868
117	0.4671299561
118	0.4669342049
119	0.4666823194
120	0.466419871
121	0.4661413191
122	0.4659452966
123	0.465833082
124	0.4656078532
125	0.4653161055
126	0.4651579841
127	0.4649939883
128	0.4646313593
129	0.4644775945
130	0.4643227823
131	0.4641035101
132	0.4637870909
133	0.4633797548
134	0.4631827709
135	0.462998372
136	0.462806009
137	0.4626447957
138	0.4624736472
139	0.4622904102
140	0.4621786567
141	0.462068755
142	0.461880352
143	0.461787321
144	0.4616621935
145	0.4615687306
146	0.4615546612
147	0.4614437414
148	0.4613527784
149	0.4612455539
150	0.461122766
151	0.4608161426
152	0.4607228281
153	0.4605603053
154	0.4602004762
155	0.4601302618
156	0.4598745915
157	0.4595940355
158	0.4594706172
159	0.4590108829
160	0.4588491692
161	0.4587761902
162	0.4586495562
163	0.4585655629
164	0.4584057286
165	0.4582890721
166	0.4582009884
167	0.4580325814
168	0.4578758197
169	0.4577309507
170	0.4576654342
171	0.4575668481
172	0.4574485024
173	0.4572933557
174	0.4572414458
175	0.4569896643
176	0.4569210695
177	0.4568544858
178	0.4567500882
179	0.4566795041
180	0.4565461331
181	0.4564532669
182	0.4562732213
183	0.4561577194
184	0.4560899781
185	0.4559217406
186	0.4557762789
187	0.4556563251
188	0.4555513769
189	0.4554273506
190	0.4553519445
191	0.4550309203
192	0.4546360899
193	0.454431213
194	0.4543129322
195	0.4542594965
196	0.4542118994
197	0.4541205305
198	0.4539943371
199	0.4538205901
200	0.4537246198
201	0.453646086
202	0.4534836824
203	0.4533148635
204	0.4532138264
205	0.4530570461
206	0.4529615491
207	0.4529071349
208	0.4527979578
209	0.4526742299
210	0.4525824359
211	0.4525081521
212	0.4523740441
213	0.4522305181
214	0.4521243174
215	0.4520617398
216	0.4519908971
217	0.4517979943
218	0.4516921794
219	0.4515757281
220	0.4513690116
221	0.451256377
222	0.4510992305
223	0.4510068712
224	0.4506017176
225	0.4502837885
226	0.4502105906
227	0.4500276023
228	0.4498379606
229	0.4497714183
230	0.4496059401
231	0.4494164973
232	0.449247609
233	0.4491302281
234	0.4490223278
235	0.448964168
