iter	Passed	Remaining
0	35	14168
1	71	14141
2	113	15037
3	151	14999
4	189	14947
5	231	15203
6	271	15238
7	310	15226
8	349	15200
9	386	15054
10	426	15098
11	463	14985
12	504	15014
13	543	14979
14	583	14967
15	630	15141
16	670	15117
17	709	15056
18	752	15088
19	790	15024
20	828	14959
21	864	14851
22	905	14847
23	943	14780
24	992	14888
25	1028	14798
26	1067	14745
27	1106	14703
28	1145	14660
29	1186	14627
30	1227	14613
31	1268	14583
32	1311	14581
33	1348	14511
34	1387	14472
35	1422	14387
36	1462	14347
37	1498	14279
38	1535	14215
39	1575	14181
40	1619	14179
41	1658	14135
42	1700	14121
43	1741	14094
44	1783	14067
45	1827	14065
46	1868	14029
47	1904	13963
48	1943	13919
49	1980	13866
50	2021	13836
51	2060	13790
52	2102	13765
53	2141	13722
54	2183	13693
55	2220	13639
56	2261	13607
57	2300	13566
58	2343	13543
59	2382	13503
60	2424	13472
61	2442	13314
62	2483	13285
63	2520	13233
64	2559	13191
65	2597	13145
66	2636	13104
67	2673	13050
68	2715	13028
69	2755	12988
70	2796	12958
71	2834	12912
72	2875	12881
73	2910	12823
74	2949	12781
75	2988	12739
76	3031	12715
77	3068	12669
78	3106	12624
79	3145	12580
80	3186	12548
81	3224	12505
82	3265	12471
83	3301	12419
84	3342	12388
85	3379	12338
86	3419	12301
87	3457	12257
88	3498	12226
89	3536	12180
90	3576	12145
91	3614	12099
92	3653	12062
93	3690	12014
94	3732	11982
95	3771	11942
96	3812	11909
97	3849	11863
98	3889	11825
99	3926	11778
100	3965	11740
101	4004	11700
102	4047	11670
103	4082	11619
104	4121	11579
105	4160	11540
106	4199	11499
107	4240	11464
108	4281	11429
109	4316	11381
110	4357	11344
111	4395	11303
112	4436	11267
113	4473	11223
114	4512	11184
115	4551	11142
116	4591	11104
117	4629	11063
118	4670	11029
119	4709	10989
120	4751	10954
121	4791	10918
122	4836	10892
123	4866	10831
124	4904	10790
125	4942	10748
126	4983	10712
127	5022	10672
128	5065	10640
129	5100	10594
130	5141	10558
131	5179	10516
132	5221	10482
133	5267	10455
134	5310	10424
135	5349	10384
136	5390	10348
137	5427	10304
138	5467	10266
139	5503	10220
140	5544	10183
141	5579	10136
142	5616	10093
143	5649	10043
144	5688	10004
145	5728	9965
146	5745	9887
147	5785	9851
148	5823	9810
149	5865	9776
150	5902	9733
151	5942	9695
152	5979	9653
153	6018	9613
154	6055	9571
155	6093	9531
156	6131	9489
157	6175	9458
158	6211	9414
159	6250	9376
160	6289	9335
161	6328	9298
162	6371	9263
163	6410	9224
164	6448	9184
165	6489	9147
166	6524	9103
167	6564	9065
168	6603	9025
169	6643	8988
170	6678	8943
171	6717	8904
172	6761	8872
173	6801	8833
174	6841	8796
175	6886	8764
176	6923	8722
177	6966	8688
178	7003	8646
179	7044	8609
180	7082	8569
181	7122	8530
182	7159	8489
183	7198	8450
184	7235	8409
185	7277	8373
186	7314	8332
187	7356	8295
188	7393	8253
189	7444	8227
190	7483	8188
191	7522	8149
192	7560	8109
193	7599	8069
194	7638	8030
195	7678	7992
196	7715	7950
197	7755	7912
198	7792	7870
199	7830	7830
200	7870	7792
201	7910	7753
202	7953	7718
203	7996	7682
204	8039	7647
205	8078	7608
206	8115	7566
207	8154	7526
208	8192	7486
209	8233	7449
210	8270	7407
211	8307	7367
212	8347	7328
213	8390	7292
214	8427	7251
215	8468	7213
216	8507	7174
217	8563	7149
218	8605	7112
219	8646	7074
220	8684	7033
221	8728	6998
222	8767	6959
223	8809	6921
224	8851	6884
225	8893	6847
226	8937	6811
227	8992	6784
228	9030	6742
229	9072	6705
230	9111	6665
231	9151	6626
232	9190	6587
233	9229	6547
234	9268	6507
235	9309	6469
236	9351	6431
237	9396	6395
238	9434	6355
239	9475	6316
240	9512	6275
241	9555	6238
242	9594	6199
243	9635	6160
244	9673	6120
245	9714	6081
246	9759	6045
247	9801	6007
248	9840	5967
249	9881	5928
250	9920	5888
251	9962	5850
252	10000	5810
253	10039	5770
254	10090	5737
255	10128	5697
256	10165	5656
257	10205	5617
258	10243	5576
259	10281	5536
260	10320	5496
261	10362	5458
262	10403	5419
263	10444	5380
264	10481	5339
265	10519	5299
266	10559	5259
267	10601	5221
268	10640	5181
269	10679	5142
270	10716	5101
271	10757	5062
272	10795	5022
273	10837	4983
274	10875	4943
275	10919	4905
276	10957	4865
277	11006	4830
278	11052	4793
279	11096	4755
280	11133	4715
281	11175	4676
282	11215	4636
283	11255	4597
284	11293	4557
285	11334	4518
286	11373	4477
287	11418	4440
288	11457	4400
289	11499	4361
290	11538	4321
291	11576	4281
292	11616	4242
293	11655	4202
294	11695	4162
295	11736	4123
296	11774	4083
297	11815	4044
298	11851	4003
299	11890	3963
300	11930	3924
301	11969	3884
302	12007	3844
303	12047	3804
304	12087	3764
305	12128	3725
306	12166	3685
307	12208	3646
308	12246	3606
309	12285	3566
310	12324	3527
311	12364	3487
312	12406	3448
313	12450	3410
314	12487	3369
315	12528	3330
316	12566	3290
317	12607	3250
318	12645	3210
319	12687	3171
320	12725	3131
321	12769	3093
322	12807	3053
323	12849	3014
324	12886	2973
325	12928	2934
326	12965	2894
327	13006	2855
328	13043	2814
329	13089	2776
330	13138	2738
331	13185	2700
332	13224	2660
333	13262	2620
334	13299	2580
335	13341	2541
336	13380	2501
337	13421	2461
338	13460	2422
339	13500	2382
340	13538	2342
341	13576	2302
342	13614	2262
343	13654	2222
344	13694	2183
345	13733	2143
346	13768	2102
347	13809	2063
348	13851	2024
349	13905	1986
350	13949	1947
351	13993	1908
352	14031	1868
353	14073	1828
354	14112	1788
355	14155	1749
356	14191	1709
357	14233	1669
358	14270	1629
359	14312	1590
360	14347	1549
361	14384	1509
362	14424	1470
363	14464	1430
364	14504	1390
365	14546	1351
366	14584	1311
367	14624	1271
368	14659	1231
369	14700	1191
370	14736	1151
371	14775	1112
372	14813	1072
373	14852	1032
374	14888	992
375	14929	952
376	14968	913
377	15011	873
378	15065	834
379	15112	795
380	15148	755
381	15189	715
382	15225	675
383	15278	636
384	15316	596
385	15358	557
386	15400	517
